ID,Bezeichnung_DE,Synonyme_DE,Hauptgruppe_Original,Schwerpunkt,Hauptgruppe_Final,Hauptgruppe_Begründung,Parent_subClassOf_ID,Parent_partOf_ID,Begründung_optional
10582,Armaturenbrett ohne Navi mit CD,Armaturentafel; Schalttafel; Instrumententafel,4 Innenraum,,4 Innenraum,,,,
10583,Armaturenbrett ohne Navi ohne CD,Armaturentafel; Schalttafel; Instrumententafel,4 Innenraum,,4 Innenraum,,,,
10584,Außenspiegel elektrisch teilgrundiert,Rückblickspiegel; Seitenspiegel; Talbotspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10585,Außenspiegel elektrisch grundiert,Rückblickspiegel; Seitenspiegel; Talbotspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10586,Außenspiegel elektrisch Standard,Rückblickspiegel; Seitenspiegel; Talbotspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10587,Vordersitz Leder nicht klappbar ohne Airbag,Sitzschale Leder nicht klappbar,4 Innenraum,,4 Innenraum,,,,
10588,Vordersitz Kunstleder nicht klappbar ohne Airbag,Sitzschale Kunstleder nicht klappbar,4 Innenraum,,4 Innenraum,,,,
10589,Vordersitz Stoff nicht klappbar ohne Airbag,Sitzschale Stoff nicht klappbar,4 Innenraum,,4 Innenraum,,,,
10590,Vordersitz Leder klappbar ohne Airbag,Sitzschale Leder klappbar,4 Innenraum,,4 Innenraum,,,,
10591,Vordersitz Kunstleder klappbar ohne Airbag,Sitzschale Kunstleder klappbar,4 Innenraum,,4 Innenraum,,,,
10592,Vordersitz Stoff klappbar ohne Airbag,Sitzschale Stoff klappbar,4 Innenraum,,4 Innenraum,,,,
10593,Anhängerkupplung mit E-Satz nicht abnehmbar,Anhängerkupplung,3 Karosserie,Karosserie (Pflicht),5 Sonstige,Klassisches Zubehörteil,20011,,
10594,Anhängerkupplung ohne E-Satz nicht abnehmbar,Anhängerkupplung,3 Karosserie,Karosserie (Pflicht),5 Sonstige,Klassisches Zubehörteil,20011,10593,
10595,Sitzgarnitur komplett Leder geteilt ohne Airbag,Sitzgarnitur komplett Leder geteilt,4 Innenraum,,4 Innenraum,,,,
10596,Sitzgarnitur komplett Kunstleder geteilt ohne Airbag,Sitzgarnitur komplett Kunstleder geteilt,4 Innenraum,,4 Innenraum,,,,
10597,Sitzgarnitur komplett Stoff geteilt ohne Airbag,Sitzgarnitur komplett Stoff geteilt,4 Innenraum,,4 Innenraum,,,,
10598,Sitzgarnitur komplett Leder geteilt ohne Airbag,Sitzgarnitur komplett Leder geteilt,4 Innenraum,,4 Innenraum,,,,
10599,Sitzgarnitur komplett Kunstleder nicht geteilt ohne Airbag,Sitzgarnitur komplett Kunstleder nicht geteilt,4 Innenraum,,4 Innenraum,,,,
10600,Sitzgarnitur komplett Stoff nicht geteilt ohne Airbag,Sitzgarnitur komplett Stoff nicht geteilt,4 Innenraum,,4 Innenraum,,,,
10601,Einspritzanlage Diesel,Einspritzeinheit; Einspritzunterteil Monopoint,2 Motorraum,,2 Motorraum,,,,
10602,Außenspiegel mechanisch lackiert,Rückblickspiegel; Seitenspiegel; Talbotspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10603,Außenspiegel mechanisch teilgrundiert,Rückblickspiegel; Seitenspiegel; Talbotspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10604,Außenspiegel mechanisch grundiert,Rückblickspiegel; Seitenspiegel; Talbotspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10605,Außenspiegel mechanisch Standard,Rückblickspiegel; Seitenspiegel; Talbotspiegel; Außenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10606,Bremszange,,1 Unterboden,,1 Unterboden,,20031,,
10607,Heizgebläse,,4 Innenraum,,4 Innenraum,,,,
10608,Unterdruckpumpe,,2 Motorraum,,2 Motorraum,,,,
10609,Außenspiegel,Rückblickspiegel; Seitenspiegel,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10610,Kotflügel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10611,Stoßstange,Stoßfänger; Verkleidung Stossfaenger; Verkleidung Stoßfänger,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,,
10612,Anhängerkupplung ohne E-Satz abnehmbar,Anhängerkupplung,3 Karosserie,Karosserie (Pflicht),5 Sonstige,Klassisches Zubehörteil,20011,10361,
10613,Steuergerät Motor,Motorsteuergerät,2 Motorraum,,2 Motorraum,,,,
10614,Steuergerät ABS,ABS-Steuergerät,2 Motorraum,,2 Motorraum,,20031,,
10615,Steuergerät Getriebe,Getriebesteuergerät,2 Motorraum,,2 Motorraum,,,,
10616,Steuergerät Zündung,Zündungssteuergerät,2 Motorraum,,2 Motorraum,,,,
10617,Steuergerät Wischergestänge,Wischergestänge-Steuergerät,2 Motorraum,,2 Motorraum,,,,
10618,Leerlaufregelventil,,2 Motorraum,,2 Motorraum,,,,
10619,Abgasrückführventil,,2 Motorraum,,2 Motorraum,,,,
10620,Radbolzensatz,,1 Unterboden,,1 Unterboden,,30000,,
10621,Traggelenk,,1 Unterboden,,1 Unterboden,,30000,,
10622,Wischergestänge,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10623,Alufelgen Satz,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,11261,
10624,Stahlfelgen Satz,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,11261,
10625,Felge Alu,,3 Karosserie,Karosserie (Pflicht),1 Unterboden,Räder ordnet man sinnvollerweise dem Fahrwerk / Unterboden zu,30000,10623,
10626,Druckspeicher,,2 Motorraum,,2 Motorraum,,,,
10627,Niveauregulierung,,2 Motorraum,,2 Motorraum,,,,
10628,Kreuzgelenk (Lenkung),Kreuzgelenk Lenkung,2 Motorraum,,2 Motorraum,,30000,,
10629,Saugrohrdrucksensor,,2 Motorraum,,2 Motorraum,,,,
10630,Türöffner innen,,4 Innenraum,,4 Innenraum,,,,
10631,Heizelement Türschloss,,4 Innenraum,,4 Innenraum,,,,
10632,Verteilerrohr Kraftstoff,,2 Motorraum,,2 Motorraum,,,,
10633,Klopfsensor,,2 Motorraum,,2 Motorraum,,,,
10634,Dach geschlossen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10635,Motor ohne Anbauteile (Diesel),Motor ohne Anbauteile Diesel; Austauschmotor Diesel; Dieselmotor,2 Motorraum,,2 Motorraum,,,,
10636,Motor ohne Anbauteile (Benzin),Motor ohne Anbauteile Benzin; Austauschmotor Benzin; Benzinmotor,2 Motorraum,,2 Motorraum,,,,
10637,Blattfeder,,1 Unterboden,,1 Unterboden,,30000,,
10638,Sitzbank 2. Reihe Stoff nicht klappbar,,4 Innenraum,,4 Innenraum,,,,
10639,Sitzbank 2. Reihe Stoff klappbar,,4 Innenraum,,4 Innenraum,,,,
10640,Sitzbank 2. Reihe Leder nicht klappbar,,4 Innenraum,,4 Innenraum,,,,
10641,Sitzbank 2. Reihe Leder klappbar,,4 Innenraum,,4 Innenraum,,,,
10642,Sitzbank 2. Reihe Kunstleder nicht klappbar,,4 Innenraum,,4 Innenraum,,,,
10643,Sitzbank 2. Reihe Kunstleder klappbar,,4 Innenraum,,4 Innenraum,,,,
10644,Deckel Verdeckkasten,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10645,Sekundärluftgebläse,,2 Motorraum,,2 Motorraum,,,,
10646,Streuscheibe Hauptscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
10647,Streuscheibe Fernscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10650,
10648,Kappe Hauptscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
10649,Streuscheibe Nebelscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10240,
10650,Scheinwerfereinsatz Fernscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10207,
10651,Scheinwerfereinsatz Hauptscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
10652,Scheinwerfereinsatz Nebelscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10240,
10653,Lichtscheibe für Blinkleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,10192,
10654,Lichtscheibe für Heckleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10859,
10655,Glühlampe Blinkleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,10192,
10656,Glühlampe Hauptscheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
10657,Glühlampe Kennzeichenleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10223,
10658,Glühlampe Nebelschlußleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10241,
10659,Einstiegblech,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10660,Frontscheibenrahmen,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10661,Rückfahrleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10662,Begrenzungsleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10663,Wischgummi,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,10528,
10664,Heckwand,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10665,Gehäuse Heckleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10859,
10666,Verbreiterungssatz Kotflügel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10667,Lampenträger Blinkleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,10192,
10668,Lampenträger Bremsleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10561,
10669,Lampenträger Heckleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10859,
10670,Lampenträger Schlußleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,,
10671,Stellelement für Leuchtweiteregulierung,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,10206,"Parent part auch 10210,10530, 10531"
10672,Stellelement für Außenspiegel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20008,10609,"Parent Part auch 10584-10586, 10602-10605"
10673,Halter Außenspiegel,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,10609,"Parent Part auch 10584-10586, 10602-10605"
10674,Scheinwerferleiste,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10675,Seitenwand,Seitenblech,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20011,,
10676,Karosserie,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10677,Umrißleuchte,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10678,Trittbrett,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10679,Umrüstsatz Scheinwerfer,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10680,Radhaus,,1 Unterboden,,1 Unterboden,,,,
10681,Heizungsregulierventil,,2 Motorraum,,2 Motorraum,,,,
10682,Sitzbank 2. Reihe,,4 Innenraum,,4 Innenraum,,,,
10683,Verkleidung D-Säule,Abdeckung D-Säule,4 Innenraum,,4 Innenraum,,,,
10684,Verkleidung Dachabschluss,Abdeckung Dachabschluss,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10685,Verkleidung Dachrahmen,Abdeckung Dachrahmen,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10686,Verkleidung Schweller,Abdeckung Schweller,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10687,Verkleidung Motor,Abdeckung Motor,2 Motorraum,,2 Motorraum,,,,
10688,Verkleidung Ladeluftkühler,Abdeckung Ladeluftkühler,2 Motorraum,,2 Motorraum,,,11898,Optional
10689,Verkleidung Lenksäule,Abdeckung Lenksäule,4 Innenraum,,4 Innenraum,,30000,,
10690,Cassetten-Radio,,4 Innenraum,,4 Innenraum,,,,
10691,CD-Radio,,4 Innenraum,,4 Innenraum,,,,
10692,Minidisc-Radio,,4 Innenraum,,4 Innenraum,,,,
10693,Radio/CD-Wechsler-Kombination,,4 Innenraum,,4 Innenraum,,,,
10694,Minidisc-Radio/CD-Wechsler-Kombination,,4 Innenraum,,4 Innenraum,,,,
10695,Radio/Navigationssystem-Kombination,,4 Innenraum,,4 Innenraum,,,,
10696,Lautsprechersystem,,4 Innenraum,,4 Innenraum,,,,
10697,Audio-Verstärker,,4 Innenraum,,4 Innenraum,,,,
10698,Software für Navigationssystem,,4 Innenraum,,4 Innenraum,,,,
10699,CD-ROM-Strassenkarte,,4 Innenraum,,4 Innenraum,,,,
10700,Behälter Hydrauliköl,,2 Motorraum,,2 Motorraum,,,,
10701,Unterbodenschutz,,1 Unterboden,,1 Unterboden,,,,
10702,Reifendruck-Kontrollsystem,,2 Motorraum,,2 Motorraum,,,,
10703,Spannrolle,,2 Motorraum,,2 Motorraum,,,,
10704,Dichtung für Koffer-/Laderaumklappe,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20012,,
10705,Mittelkonsole Unterbau,,4 Innenraum,,4 Innenraum,,,,
10706,Armaturenbrett Unterbau,,4 Innenraum,,4 Innenraum,,,,
10707,ABS-Regler,,2 Motorraum,,2 Motorraum,,20031,,
10708,Pollenfilterkasten,,4 Innenraum,,4 Innenraum,,,,
10709,Pollenfilter,Aktiv-Pollenfilter,4 Innenraum,,4 Innenraum,,,,
10710,Getränkehalter,,4 Innenraum,,4 Innenraum,,,,
10711,Leselampe,,4 Innenraum,,4 Innenraum,,,,
10712,Steuergerät Airbag,,2 Motorraum,,2 Motorraum,,20020,,
10713,Steuergerät ASR,,2 Motorraum,,2 Motorraum,,,,
10714,Steuergerät Automatikgetriebe,,2 Motorraum,,2 Motorraum,,,,
10715,Steuergerät Automatische Kupplung,,2 Motorraum,,2 Motorraum,,,,
10716,Steuergerät Beleuchtung,,2 Motorraum,,2 Motorraum,,,,
10717,Steuergerät Brems-/Fahrdynamik,,2 Motorraum,,2 Motorraum,,20031,,
10718,Steuergerät Dieseleinspritzanlage,,2 Motorraum,,2 Motorraum,,,,
10719,Steuergerät Einparkhilfe,,2 Motorraum,,2 Motorraum,,,,
10720,Steuergerät Fensterheber,,2 Motorraum,,2 Motorraum,,,,
10721,Steuergerät Geschwindigkeitsregelanlage,,2 Motorraum,,2 Motorraum,,,,
10722,Steuergerät Glühzeit,,2 Motorraum,,2 Motorraum,,,,
10723,Steuergerät Gurtgeber,,2 Motorraum,,2 Motorraum,,20021,,
10724,Steuergerät Gurtstraffer,,2 Motorraum,,2 Motorraum,,20021,,
10725,Steuergerät Heizung/Lüftung,,2 Motorraum,,2 Motorraum,,,,
10726,Steuergerät Klimaanlage,,2 Motorraum,,2 Motorraum,,,,
10727,Steuergerät Klopfsensor,,2 Motorraum,,2 Motorraum,,,,
10728,Steuergerät Kraftstoffeinspritzung,,2 Motorraum,,2 Motorraum,,,,
10729,Steuergerät Kühlmittelmangelanzeige,,2 Motorraum,,2 Motorraum,,,,
10730,Steuergerät Kurvenscheinwerfer,,2 Motorraum,,2 Motorraum,,,,
10731,Steuergerät Lambdaregelung,,2 Motorraum,,2 Motorraum,,,,
10732,Steuergerät Leerlaufregelung,,2 Motorraum,,2 Motorraum,,,,
10733,Steuergerät Leuchtweiteregulierung,,2 Motorraum,,2 Motorraum,,,,
10734,Steuergerät Luftfederung,,2 Motorraum,,2 Motorraum,,,,
10735,Steuergerät Regensensor,,2 Motorraum,,2 Motorraum,,,,
10736,Steuergerät Reifendruck-Kontrollsystem,,2 Motorraum,,2 Motorraum,,,,
10737,Steuergerät Servolenkung,,2 Motorraum,,2 Motorraum,,30000,,
10738,Steuergerät Sitzbelegungserkennung,,2 Motorraum,,2 Motorraum,,,,
10739,Steuergerät Sitzheizung,,2 Motorraum,,4 Innenraum,"Unwahrscheinlich, dass das Teil im Motorraum verbaut ist",,,
10740,Steuergerät Sitzverstellung,,2 Motorraum,,2 Motorraum,,,,
10741,Steuergerät Standheizung,,2 Motorraum,,2 Motorraum,,,,
10742,Steuergerät Tür-Zuzieh-Hilfe,,2 Motorraum,,2 Motorraum,,,,
10743,Steuergerät Vergaser,,2 Motorraum,,2 Motorraum,,,,
10744,Steuergerät Zentralverriegelung,,2 Motorraum,,2 Motorraum,,,,
10745,Steuergerätesatz ABS,,2 Motorraum,,2 Motorraum,,20031,,
10746,Steuergerät Anhängerkupplung,,2 Motorraum,,5 Sonstige,Klassisches Zubehörteil,,,
10747,Deckenschalter,,4 Innenraum,,4 Innenraum,,,,
10748,Schutzleiste Schweller,,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20005,,
10749,Motor Heckklappe,Motor Heckklappenöffner; Heckklappenantrieb,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20013,10347,"Parent Prt auch 10554,10555"
10750,Axialgelenk für Spurstange,Axialgelenk Spurstange,1 Unterboden,,1 Unterboden,,30000,,
10751,Blinkgeber,,2 Motorraum,,2 Motorraum,,,,
10752,Scheinwerfereinsatz für Suchscheinwerfer,Scheinwerfereinsatz Suchscheinwerfer,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20003,,
10753,Dichtung für Abgasrohr,Dichtung Abgasrohr,1 Unterboden,,1 Unterboden,,,,
10754,Sensor für Öldruck,Sensor Öldruck,2 Motorraum,,2 Motorraum,,,,
10755,Faltenbalgsatz für Antriebswelle,Faltenbalgsatz Antriebswelle,1 Unterboden,,1 Unterboden,,30000,10315,Auch 10316
10756,Gelenk für Antriebswelle,Gelenk Antriebswelle; Antriebswellengelenksatz,1 Unterboden,,1 Unterboden,,30000,,
10757,Lüftungsgitter für Stoßfänger,Lüftungsgitter Stoßfänger,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20000,10570,"Parent Part no is auch 10571-10580, 10611"
10758,Lagerung für Automatikgetriebe,Lagerung Automatikgetriebe,2 Motorraum,,2 Motorraum,,,,
10759,Lagerung für Lenker,Lagerung Lenker,1 Unterboden,,1 Unterboden,,30000,,
10760,Anschlagpuffer für Schalldämpfer,Anschlagpuffer Schalldämpfer,1 Unterboden,,1 Unterboden,,,,
10761,Haltering für Schalldämpfer,Haltering Schalldämpfer,1 Unterboden,,1 Unterboden,,,,
10762,Lenker für Radaufhängung,Lenker Radaufhängung,1 Unterboden,,1 Unterboden,,30000,,
10763,Generatorregler,,2 Motorraum,,2 Motorraum,,,,
10764,Waschwasserdüse für Scheibenreinigung,Waschwasserdüse Scheibenreinigung,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10765,Umlenkrolle für Keilrippenriemen,Umlenkrolle Keilrippenriemen,2 Motorraum,,2 Motorraum,,,,
10766,Warnkontakt für Bremsbelagverschleiß,Warnkontakt Bremsbelagverschleiß,1 Unterboden,,1 Unterboden,,20031,,
10767,Sensor für Raddrehzahl,Sensor Raddrehzahl,1 Unterboden,,1 Unterboden,,30000,,
10768,Hydraulikfilter für Automatikgetriebe,Hydraulikfilter Automatikgetriebe,2 Motorraum,,2 Motorraum,,,,
10769,Filter für Innenraumluft,Filter Innenraumluft,4 Innenraum,,4 Innenraum,,,,
10770,Kipphebel für Motorsteuerung,Kipphebel Motorsteuerung,2 Motorraum,,2 Motorraum,,,,
10771,Dichtungssatz für Ölwanne,Dichtungssatz Ölwanne,2 Motorraum,,2 Motorraum,,,,
10772,Wärmetauscher für Innenraumheizung,Wärmetauscher Innenraumheizung,4 Innenraum,,4 Innenraum,,,,
10773,Kühlerschlauch,,2 Motorraum,,2 Motorraum,,,,
10774,Lenkhebel,,1 Unterboden,,1 Unterboden,,30000,,
10775,Kupplung für Kühlerlüfter,Kupplung Kühlerlüfter,2 Motorraum,,2 Motorraum,,,,
10776,Gasfeder für Motorhaube,Gasfeder Motorhaube,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20002,,
10777,Hochdruckschalter für Klimaanlage,Hochdruckschalter Klimaanlage,2 Motorraum,,2 Motorraum,,,,
10778,Ölschlauch,,2 Motorraum,,2 Motorraum,,,,
10779,Schlepphebel für Motorsteuerung,Schlepphebel Motorsteuerung,2 Motorraum,,2 Motorraum,,,,
10780,Verschlussschraube für Ölwanne,Verschlußschraube Ölwanne,2 Motorraum,,2 Motorraum,,,,
10781,Verschluss für Öleinfüllstutzen,Verschluß Öleinfüllstutzen,2 Motorraum,,2 Motorraum,,,,
10782,Reparatursatz für Umlenkhebel,Reparatursatz Umlenkhebel,2 Motorraum,,2 Motorraum,,30000,,
10783,Gelenk für Lenkwelle,Gelenk Lenkwelle,1 Unterboden,,1 Unterboden,,30000,,
10784,Zündleitungssatz,,2 Motorraum,,2 Motorraum,,,,
10785,Zündverteilerläufer,,2 Motorraum,,2 Motorraum,,,,
10786,Zündverteilerkappe,,2 Motorraum,,2 Motorraum,,,,
10787,Reparatursatz für Führungsstrebe für Radaufhängung,Reparatursatz Führungsstrebe Radaufhängung,1 Unterboden,,1 Unterboden,,30000,,
10788,Reparatursatz für Radaufhängung,Reparatursatz Radaufhängung,1 Unterboden,,1 Unterboden,,,,
10789,Reparatursatz für Querlenker,Reparatursatz Querlenker,1 Unterboden,,1 Unterboden,,30000,10469,
10790,Öldruckschalter,,2 Motorraum,,2 Motorraum,,,,
10791,Schalter für Bremsleuchte,Schalter Bremsleuchte,4 Innenraum,,4 Innenraum,,20031,,
10792,Schalter für Rückfahrleuchte,Schalter Rückfahrleuchte,4 Innenraum,,4 Innenraum,,,,
10793,Schalter für Türkontakt,Schalter Türkontakt,4 Innenraum,,4 Innenraum,,,,
10794,Zünd-/Startschalter,,4 Innenraum,,4 Innenraum,,,,
10795,Sensor für Ansauglufttemperatur,Sensor Ansauglufttemperatur,2 Motorraum,,2 Motorraum,,,,
10796,Sensor für Innenraumtemperatur,Sensor Innenraumtemperatur,2 Motorraum,,2 Motorraum,,,,
10797,Impulsgeber für Kurbelwelle,Impulsgeber Kurbelwelle,2 Motorraum,,2 Motorraum,,,,
10798,Sensor für Zündimpuls,Sensor Zündimpuls,2 Motorraum,,2 Motorraum,,,,
10799,Staubschutzsatz für Stoßdämpfer,Staubschutzsatz Stoßdämpfer,1 Unterboden,,1 Unterboden,,30000,,
10800,Aufnahme für Wagenheber,Aufnahme Wagenheber,4 Innenraum,,4 Innenraum,,,,
10801,Zier-/Schutzleiste für Frontverkleidung,Zier-/Schutzleiste Frontverkleidung,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10802,Halter für Schalldämpfer,Halter Schalldämpfer,1 Unterboden,,1 Unterboden,,,,
10803,Halter für Abgasanlage,Halter Abgasanlage,1 Unterboden,,1 Unterboden,,,,
10804,Zahnrad für Kurbelwelle,Zahnrad Kurbelwelle,2 Motorraum,,2 Motorraum,,,,
10805,Lagerung für Achskörper,Lagerung Achskörper,1 Unterboden,,1 Unterboden,,30000,,
10806,Flansch für Vergaser,Flansch Vergaser,2 Motorraum,,2 Motorraum,,,,
10807,Bremsbackenbolzen,,1 Unterboden,,1 Unterboden,,20031,,
10808,Temperaturschalter für Kühlerlüfter,Temperaturschalter Kühlerlüfter,2 Motorraum,,2 Motorraum,,,,
10809,AGR-Ventil,,2 Motorraum,,2 Motorraum,,,,
10810,Federbeinlager,,1 Unterboden,,1 Unterboden,,30000,10463,
10811,Anschlagpuffer für Federung,Anschlagpuffer Federung,1 Unterboden,,1 Unterboden,,30000,,
10812,Sensor für Außentemperatur,Sensor Außentemperatur,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
10813,Sensor für Geschwindigkeit/Drehzahl,Sensor Geschwindigkeit/Drehzahl,1 Unterboden,,1 Unterboden,,,,
10814,Ventilstößel,,2 Motorraum,,2 Motorraum,,,,
10815,Schaltgerät für Zündanlage,Schaltgerät Zündanlage,2 Motorraum,,2 Motorraum,,,,
10816,Spoiler für Kühlergitter,Spoiler Kühlergitter,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,20001,,
10817,Reparatursatz für Achskörper,Reparatursatz Achskörper,1 Unterboden,,1 Unterboden,,30000,,
10818,Sensor für Kühlmittelstand,Sensor Kühlmittelstand,2 Motorraum,,2 Motorraum,,,,
10819,Sensor für Motorölstand,Sensor Motorölstand,2 Motorraum,,2 Motorraum,,,,
10820,Federteller,,1 Unterboden,,1 Unterboden,,30000,,
10821,Sensor für Drosselklappenstellung,Sensor Drosselklappenstellung,2 Motorraum,,2 Motorraum,,,,
10822,Schraube für Spureinstellung,Schraube Spureinstellung,1 Unterboden,,1 Unterboden,,30000,,
10823,Bremsbackensatz für Feststellbremse,Bremsbackensatz Feststellbremse,1 Unterboden,,1 Unterboden,,20031,,
10824,Lagerung für Gelenkwelle,Lagerung Gelenkwelle,1 Unterboden,,1 Unterboden,,30000,,
10825,Niveauschalter für Waschwasservorrat,Niveauschalter Waschwasservorrat,2 Motorraum,,2 Motorraum,,,,
10826,Sensor für Nockenwellenposition,Sensor Nockenwellenposition,2 Motorraum,,2 Motorraum,,,,
10827,Lenkstockschalter,,4 Innenraum,,4 Innenraum,,,,
10828,Halter für Kühlerlüfter,Halter Kühlerlüfter,2 Motorraum,,2 Motorraum,,,,
10829,Ansaugschlauch für Luftfilter,Ansaugschlauch Luftfilter,2 Motorraum,,2 Motorraum,,,,
10830,Buchse für Wähl-/Schaltstange,Buchse Wähl-/Schaltstange,2 Motorraum,,2 Motorraum,,,,
10831,Buchse für Lenkhebelwelle,Buchse Lenkhebelwelle,2 Motorraum,,2 Motorraum,,30000,,
10832,Hülse für Querlenkerlagerung,Hülse Querlenkerlagerung,1 Unterboden,,1 Unterboden,,30000,10469,
10833,Trichter für Ölpeilstab,Trichter Ölpeilstab,2 Motorraum,,2 Motorraum,,,,
10834,Lagerung für Achsträger,Lagerung Achsträger,1 Unterboden,,1 Unterboden,,30000,,
10835,Lagerung für Achsstrebe,Lagerung Achsstrebe,1 Unterboden,,1 Unterboden,,,,
10836,Schwingungsdämpfer für Keilrippenriemen,Schwingungsdämpfer Keilrippenriemen,2 Motorraum,,2 Motorraum,,,,
10837,Reparatursatz für Zwischenwelle,Reparatursatz Zwischenwelle,1 Unterboden,,1 Unterboden,,,,
10838,Bedienelement für Klimaanlage,Bedienelement Klimaanlage,4 Innenraum,,4 Innenraum,,,,
10839,Buchse für Lenkwelle,Buchse Lenkwelle,1 Unterboden,,1 Unterboden,,30000,,
10840,Anschlagpuffer für Luftfilter,Anschlagpuffer Luftfilter,2 Motorraum,,2 Motorraum,,,,
10841,Relais für Glühanlage,Relais Glühanlage,2 Motorraum,,2 Motorraum,,,,
10842,Buchse für Schaltstange,Buchse Schaltstange,1 Unterboden,,1 Unterboden,,,,
10843,Schlauch für Getriebeölkühler,Schlauch Getriebeölkühler,2 Motorraum,,2 Motorraum,,,,
10844,Membran für Vergaser,Membran Vergaser,2 Motorraum,,2 Motorraum,,,,
10845,Sensor für Außentemperatur,Sensor Außentemperatur,3 Karosserie,Karosserie (Pflicht),3 Karosserie,,,,
